,1,2,3,4,5,6,7,8
Monday,IX COMPUTER,XII COMPUTER,XI COMPUTER,X COMPUTER,,,,
Tuesday,IX COMPUTER,XII COMPUTER,XI COMPUTER,X COMPUTER,,,XII PRACTICAL,XII COMPUTER
Wednesday,IX COMPUTER,XII COMPUTER,XI COMPUTER,X COMPUTER,,,XI PRACTICAL,XI PRACTICAL
Thursday,IX COMPUTER,XII COMPUTER,XI COMPUTER,X COMPUTER,,,,
Friday,IX COMPUTER,XII COMPUTER,XI COMPUTER,X COMPUTER,,,,
